S.No,Comments,Label,Unnamed: 3
HATE_1033,Gounu leduga anduke intlo tongunnadu bayataki vaste ummivestarani,hate,
HATE_1034,Pavan Kalyan gari nayakatvam vardillali jai power star ,non-hate,
HATE_1035,Sagam kaalchina chutta peekalaku brand amsador,hate,
HATE_1036,Bjp central lo vachi yemi chesinru chepu,hate,
HATE_1037,PK navu janmmalo ward member kuda Kaledu,hate,
HATE_1038,Lancham antunaru anam garu inthaku mundu your government ilagey chesinda,hate,
HATE_1039,Jagan eppatiki CM avvaledu raasi pettukooha ,hate,
HATE_1040,Kirrak movie cinema gurinchi bad ga anakandi jai mahesh anna,non-hate,
HATE_1041,Ka pal garu miru super,non-hate,
HATE_1042,Hehe mla kuda gelavaledu kanisam gurtu kuda ledu ento pikuta antunnadu,hate,
HATE_1043,No one loafer Jai TDPLokesh,hate,
HATE_1044,Asalu ka paul time ivvakudadhu amitashaku andhukante ayana onetwozero deshala pm lanu ayana kalisaru,non-hate,
HATE_1045,Vammo mamulodivi kadu swamy Nuvvu,non-hate,
HATE_1046,Manalli yavadu ra apeddi,non-hate,
HATE_1047,PoraaaRed Flower,hate,
HATE_1048,He has more talking power Aina daivajanulato anta easy kadu mari,non-hate,
HATE_1049,Mahesh babu nilabadithe chalu memu chusathsam bayya super dailoge ,non-hate,
HATE_1050,Idira pual power anty ippudina telusukondra,non-hate,
HATE_1051,Ramu garu correct  ga chepparu sir,non-hate,
HATE_1052,Nuvvu bjp b party ra houle,hate,
HATE_1053,Ayanni okasari kodithey meeru laksha sarlu chupisthunnaru emkavali meeku,hate,
HATE_1054,Employees ki antha salary lu vasthuna chalatledhu ante mari nonemployees ami chey,hate,
HATE_1055,tc rate penchadam kaduudyamalu cheyakunda employees kastapadithe development avutundi,hate,
HATE_1056,Ni jobi lo nundi oka rupai evariki ichinatlu a media lo chudaledhu sir Pawan thana cinema dabbulu pedhavallaki pancharu,non-hate,
HATE_1057,Aallu eellu andaru okkate,non-hate,
HATE_1058,Etv news Ani thesesi chandrana news Ani pettandi baguntundhi,non-hate,
HATE_1059,Miru kada ra janalni mosam chesedhi ,hate,
HATE_1060,NENUKUDAPEDHAVADENEUPADHELEDHUVUDHYOGAMLEDHUPANULUEKUVADHORUKADAMLEDHU,non-hate,
HATE_1061,Ee sari Nennu ne boss ni chayputho kodataru plz hold til twozerotwofour,hate,
HATE_1062,Eppudina ardaminda power cuts ap lone kaadu india mottam edhe problem,non-hate,
HATE_1063,Asalem matladuthunnavo neekanna ardham ayithundha ,hate,
HATE_1064,Ede ap lo aite pachha media pachha party diniki kuda jagan ne karanam ane vallu,hate,
HATE_1065,America Agent Jelenskydeshanni nashanam chesthunnadu,hate,
HATE_1066,Power Lo undi evaru ra vedava,hate,
HATE_1067,Torch lite Kuda Leni rojula fake news vadu kavalane chesind,hate,
HATE_1068,Prajalu andaru sachinanka peekedemiledu,hate,
HATE_1069, amarica andatho madam perigi kotukuntundi urikine,hate,
HATE_1070,CHETTHAPLAN  RAAKSHASHATHVAM,hate,
HATE_1071,Anna nuvu chepthuntevoka emotion vasthundanna,non-hate,
HATE_1072,India an Russia are best friendly countries evaru dislike chesaro vallu pak  america nd china ollu ,non-hate,
HATE_1073,Easy vochina success ni scam antarau Emi chepparu bhayya Love it,non-hate,
HATE_1074,Niyamtruthva leaders time konni rojule,non-hate,
HATE_1075,samsaram kadu adi vebhicharam,hate,
HATE_1076,Nice baaga dhimpav Anchor bro,hate,
HATE_1077,Mari aa sangathi thelisi antha madham yendhukura niku Vaaru garu antunnaavgnanodhayamyndhi koddhiga,hate,
HATE_1078, MAA president ga gelipiste yedo peekutanu annadu yemi peekaadu yedyna cheyalante manchi manasu vundali megastar chesinavi chudandi apdbaandhavudu andarivaduannayya jai chiranjeeviandariki mere  GOD FATHER ,hate,
HATE_1079,One and only Mega star Potthi leyruRaleyru,non-hate,
HATE_1080,Andaru ide Panlo unnattunnaru veellu vammmo meeru rechagodithe rechiporu meeplans panikirav pondi,hate,
HATE_1081,Chiranjeevi gaaru meeru eppudu greate mi manasu mi saayam mi kalmasham leni vyakthitwam mi prema mundu evvaru sariporu annayya ee vishnu lantollu vandala mandochina mi kaali gotiki kuda sariporu annayya valla kullu vallane thagalapettestundi,non-hate,
HATE_1082,Paul mosapoyaduRGV ellipoyaduanchor biskit ayadu gist of this non sense,hate,
HATE_1083,Official ga sixzerozero acres ante unofficial GA enno okko family member peru meedha enni ekaraalu unnayo Raitu bandhu okkati chalu,hate,
HATE_1084,Real joker re unnadu kada malli sir ,hate,
HATE_1085,Mallareddy Dookudu cenima lo bramhi character correct set aithadu,non-hate,
HATE_1086,Madyalo Aa sound effects matram next level ,non-hate,
HATE_1087,E endaku aa Godugu padutunnaduitlaanti vaadini ekkada unchalo akkada unchaliYCP vallu ade chesaru,hate,
HATE_1088,Prudhvi sir very good man nowsir thana thappu thelisikunnaru,non-hate,
HATE_1089,Sir ee discussion lu vaddu sir power Star image poddi and mana dabba manam kottukunnattu untundi,hate,
HATE_1090,Dear ETV Variki  Dear Gnapika Entertainments Variki  Dear Ali Gariki  Sir Adivi Sesh Gariki  Madam Saiee Manjrekar Gariki ,non-hate,
HATE_1091,Telugu lo sesh chala intelligent screenplay writer  Chala talent vundhi manodiki,non-hate,
HATE_1092,Ma kharma  rastani palinche mantrulu malla Reddygangulatalasani meeku oka dandam ra babu,hate,
HATE_1093,Gudivada king true leader,non-hate,
HATE_1094,Elders ki respect lekunda matladina vaadu Oka hero,hate,
HATE_1095,Power loki vachaka prajala paina kallu petti thokkutharuu,hate,
HATE_1096,Assembly lo aa party kani sir ma samsyaluni gurinchi matladandi missillineous vanni matlda vaddu si,hate,
HATE_1097,Miru chala great man Simham munduku kukkalu ravu sir Love you soo much Bratiki konnirojulaina ilane vundali Love you,non-hate,
HATE_1098,Super sathi garumee action superbchala enjoy chesthunnamu,non-hate,
HATE_1099,Arey budder khan nuvvu asalu ,hate,
HATE_1100,Venki anna yekkada unna haa Joshi veru,non-hate,
HATE_1101,"Permit room lu enduku pettirru 
Thaginanka oka beer tho aguthara",hate,
HATE_1102,Kaveri jah kadu ra adi evarro kudo teliduuu jafa,hate,
HATE_1103,Wines lo thaage system pettakandi sir banjeyandi samaanyula midhane miru ebbandhi pedtharu wines yekkada padithe akkada unnai galliko wines aindhi,hate,
HATE_1104,Manchu Laxmi lo andam ekada kanipistunde raa babu dabbu unte stone kuda diamond laga kanipistunde,hate,
HATE_1105,Meru devudu annalife long meru healthy ga undalani devudu ki pratistunna,non-hate,
HATE_1106,Samba shivudu great humanity person,non-hate,
HATE_1107,Wow real journalist mallanna gariki hattsoffmelaga andaru journalists vuntey asalu corruption cheyadaniki kuda bhayapadtaru anna,non-hate,
HATE_1108,konchem odd ga behave cheyadam kadandi pitchandi edi,hate,
HATE_1109,Eme thagi matladthundemo,hate,
HATE_1110,Andhra lo Roads veyandi babu koncham Accidents avthunnai Vehicles anni damage avthunnai Krishna and West Godavari Roads aithey mari worst,hate,
HATE_1111,Youtube vedios konni follow ayyedhanni tharwatha BB house lo koncham negitive feel ayya ippudu chustunte badha anipistundhi very good dancer All the Best for your future Shanmukh 💐,non-hate,
HATE_1112,Prajala samasyala gurinchi okaru kuda matladaru kadha nice ,hate,
HATE_1113,Ayithe life politician kavali ra Babu,non-hate,
HATE_1114,Jagan paapam pande rojulu dhaggara paduthunnayi  vasthunnayi vasthunnayi manchi rojulu vasthunnayi,hate,
HATE_1115,Idemi daridramu ra Anna  Assalu bharincha leka potunnamu Veellaku emaina buddhi gnanamu vunda Vella IQ enta Mott Amur family kalipi chusina onezerozero daatadi emo,hate,
HATE_1116,Adhikaram vunte thuglak gadu emaina chesasthadu,hate,
HATE_1117,agu gadi debbaku reddys ni jobslo evaru petukoru kulanike ibandi padutumndi,hate,
HATE_1118,Chi maarandi e trolls chusaina public feeling telusukoni masalukondi,hate,
HATE_1119,Nijam ayyina reddlu tdp ki support ga undali,non-hate,
HATE_1120,Me Vally telagana Eroju Ela vundhi sir MA Andra ki kuda jagan lanty yadhava kakundha melanty ledars kavali sir great kcr and ktr,hate,
HATE_1121,Mata tadabada kunda clear ga ktr sir matalu super,non-hate,
HATE_1122,Telangana ki manchi rojulu vasthunai ,non-hate,
HATE_1123,Big boss lo he felt lonelya emotion lo siri ne hug cheskunadunot with bad intentionhope Deepthi understands himhis smile nd eyes both r filled with pain,non-hate,
HATE_1124,meru superr andhra gurchince koncham careing im haapy for that keep supporting,non-hate,
HATE_1125,Partial dharidrsm voddhu sir,hate,
HATE_1126,Okka party lo unte neevu correctchange aite ilane untundi,hate,
HATE_1127,Ravi teja the man behind those wonderful memes Raviteja anna ki oka Oooooo,non-hate,
HATE_1128,Ycp chappina matalu vinte mosapotaru jagrtta,hate,
HATE_1129,Vidipoyaru ana pain feel una navvuthunadu shannu,non-hate,
HATE_1130,Ippudu ee vedio choostey pichha comedy ga untundhicomedy cheddam anukoni comedy aipoyava narsiredyyyyadaki poyavayyaa,hate,
HATE_1131,Janame kurcho pettaru mimmalni tharimi kottaru,hate,
HATE_1132,Ramcharan garu mari intha introvert ha devuda decent ga unnadu Fidha Ntr rajamouli suma garu next level super,non-hate,
HATE_1133,CBN maryada poorvakanga mic isthe praja samasyalu thelusukokunda mp garu dhurviniyogam chesaru,hate,
HATE_1134,Jokulu vesukoni navukunnaru Eppudu andaru navutunnaru  Chusi,non-hate,
HATE_1135,Vedu evavu overaction chesthunnadu child labour aa,hate,
HATE_1136,Pilla pu AAthulu,hate,
HATE_1137,velli allurjun madda guudu,hate,
HATE_1138,Super sir mee lanti vallu undali si,non-hate,
HATE_1139,Ah group lo nannu add chaindi mawa,non-hate,
HATE_1140,Super sir ila andharu alochinchi respectful ga move ithey society bagupadthadhi,non-hate,
HATE_1141,Great sir me behavior ku na police vallu andharu me laga unte friendly policing,non-hate,
HATE_1142,Nibba ki phone istey ela untundi,hate,
HATE_1143,Super ga vundhi drama commen people ni sir ani kuda antara o my god this is team work guys,non-hate,
HATE_1144,Nagavalli died because of this video,hate,
HATE_1145,Prank lu chesukuntunaru e police gallu Public ni mosam cheyadaniki,hate,
HATE_1146,Aatla vastai Anna niku enni telivi tetalu oka cinema thi anna,non-hate,
HATE_1147,Vera level sinking sir comedy super,non-hate,
HATE_1148,Police drama is thisjanaalanu andhulo specially night time sir ani respect iche antha seen ledu,hate,
HATE_1149,Okkokkadiki nine months pregnancy vundhi policelaki,hate,
HATE_1150,Acting chaalabaagundi mi timing kanivandi performance kanivandi dialogue delivery gaani  nice kipet up all the best you have a great future as an artist,non-hate,
HATE_1151,Anna nuvvu chavaku yidi chAlA anyayaMsuspense adiripoyiMdinext episode vegaMgA pettanna,hate,
HATE_1152,Ee movie kosam Wait chesevALLu  like vesukondiii,non-hate,
HATE_1153,I pATa kanna  mI mATe bAguMdi,non-hate,
HATE_1154,Character of the episode award goes to oneA master aMte kadhammA rey,non-hate,
HATE_1155,Hope that there is no ending in madhu character waiting for next episode in telugu with madhu again  madhu pokUDadammArey,non-hate,
HATE_1156,devi aDige prashnalaku gaTTigA diMpAvU gA samAdhAnAlu vijay,hate,
HATE_1157,vijay iMta lAjikal Ansars istADani assalu expect cheyalegreT,non-hate,
HATE_1158,erripappA avvaDaM kosame puTTiMde tv nine,hate,
HATE_1159,Tvnine ki dula thirchestadu rgv ,hate,
HATE_1160,manaM vippuku tirugutU chuTTU unna vALLanni kappuko mannaTTuMdi,hate,
HATE_1161,vachchiMdayyA mahA pativrata anasUya aMTene niluvèllA bUtu Imè chèbutuMdi nItulu tU siggumAlina janma,hate,
HATE_1162,Anasuya nuvvu jabardast Sho lo chesevi emiTi vedAlu vallistunnavA asalu bUtulu nI Sho nuMDe mòdalu pèTTAru ,hate,
HATE_1163,boothu ki care of address ayina anasuya garu boothu gurinchi maatlaaduthundhi wah wah,hate,
HATE_1164,Video super ayya editing super anthey ,non-hate,
HATE_1165,Edhi matharam jabardasth lo expose cheychu adult comedy Cheyachu Ari fikudhi,hate,
HATE_1166,Assalu monna vachina Khiladi cinima lo anusuya matram hot hot ga ichi padesindianthe,non-hate,
HATE_1167,Bhuthulu gurinchi double meanings gurinchi nuv matladodhu anusuya plz,hate,
HATE_1168,RGV gAru IsAri mUrti gAri character pèTTaMDi mI sinimA lo,non-hate,
HATE_1169,Fan rèkkalu virige roju daggaralone uMdi,hate,
HATE_1170,Meeku ichindhi mamulu post kadhusvbc chairman ante manchi postmeeru daani missuse chesukunnarujagan gurinchi pk gari gurinchi kadhumeeru avakaasamu miss use chesukunnaru,hate,
HATE_1171,japhphA timiMgalaM fourtwozero gADiki RiP èppuDu chèputAru,hate,
HATE_1172,Pilichi pettinchukuntaru gaTVnine ki eemadhya sarada ayindi,hate,
HATE_1173,E tv nine ki burra poyandhi,hate,
HATE_1174,nAgabAbu sèlakShan sUpar gallI bAys adurs,non-hate,
HATE_1175,Ñeela oka onehr kuda undalem sir jai rgv,non-hate,
HATE_1176,nI judgement karèkT gA uMTAdi bro,non-hate,
HATE_1177,Srikanth reddy kachchitaMgA tappu A tappu chaguriMchi kaLyANi gAru chèppaDaM iMkA tappu,hate,
HATE_1178,nag sir said about natraj master is absolutely correct ADiyans mAsTar guriMchi emanukuMTunnAro ade chèppAru super nag sir,non-hate,
HATE_1179,Akhil Shiva good players chAlA bAgA ADutunnArui like Akhil and shiva,non-hate,
HATE_1180,Vedhavalu Vedhavalu anni chotla vunnaruinka janalani yedipinchadam tappa,hate,
HATE_1181,TIvI phaiv èppuDu tappuDu prachArame,hate,
HATE_1182,Byredyy cheyppadu kada ra nenu party maredu ledu ani Mee moddalo gola yanti raa,hate,
HATE_1183,Vadu em matladuthunnado eanna artham aithe Kanisam telugu translator ni pettukovachuga Telugu bashaki respect ivvaru BJP vallu,hate,
HATE_1184,Anna nee comedy Expressions baguntai,non-hate,
HATE_1185,Bro ni slang ee neeku plus point  Manchi humour undi neelo Elane regular ga videos chestu undu  onezerozerok pakka,non-hate,
HATE_1186,ippaTikainA ap prajalu buddhi tèchchukovAli,hate,
HATE_1187,siggu lekuMDA tirugutunnAru èm Abivuddi cheshArani tirurugutunnAru,hate,
HATE_1188,maLLI vaisIpI gèliste AMdhrapradesh prajalu aDukku tinAli nUTiki twozerozero idi nijaM,hate,
HATE_1189,MLA ticket kosaM padavula kosame I gaDapa gaDapaku prabhutva yAtra pApaM CM gAri hAmIlaki vILLu bali,non-hate,
HATE_1190,mèTTu theskoni kottandi okka jobs ledu devlopmet ledu asalu Dabbulu veyydam votes kosam pedda scam idi,hate,
HATE_1191,maheSh bAbu I reMj lo navvaDaM ippaTi varaku ide mòdaTi sAri Big thanks to Sathi anna,non-hate,
HATE_1192,kòMchèMkUDa hIro ane pògaru ledu greT sAr mIru,non-hate,
HATE_1193,AVATAR òka adbhuta prapaMchaM dIni DairèkTar James Cameron aMtakannA adbhutaM Ayana ideas ki creativity ki,non-hate,
HATE_1194,uma anna aMTe kaDupu maMTa kevalaM vèsT candate vi nuvvu,hate,
HATE_1195,Dīnamma jīvitaṁ Okka postive kāmeṇṭ kanīsaṁ cūdāṁ ani vetikina dorakaṭlēdu kadā anvēṣa,hate,
HATE_1196,"mIru kUl gA vIDiyos chèsukòMDi
i TèMksans vadileyaMDi",hate,
HATE_1197,Ravi anna annadi nijame ani IpATike naTarAj mAsTar ki arthamaipoyiMdinaTarAj mAsTar ippaTikainA maniShi ga mAraMDi,hate,
HATE_1198,iMdraja gAri phAns promolo iMdraja gAru sUparb TaimiMg ,non-hate,
HATE_1199,Ravi prakash vunnappudu Chaala mandhi House lloki Veylli Vaalla bed rooms varaku Veyllaru Chaala mandhi Jevitaalato TVnine lanja channel Ani Chaala mandhi Cheypparu,hate,
HATE_1200,Matter divert chestundii ame ra hamara Prasad ga bura leda kanisam legal ga ela adoption chesukovali ani gutleee,hate,
HATE_1201,​BJP lo seat kosam baga chesav le stunt,hate,
HATE_1202,RGV chèppedi chAlA karèkT gA uMdi,non-hate,
HATE_1203,prati òka iMTarvyU lo chAlA kUl gA mATlADatAru nijAlu nirbhayaMgA chèbutADu èvaDannA emannA anukòni nenu chèppedi chèptA anukune vyakti RGV,non-hate,
HATE_1204,Theatre kellina badhitula ga ma badhalu panchukunnam anthe Boothulu tittadam family ni involve cheyadam ee panchayati lu oddu amma Happy ga undandi,hate,
HATE_1205,Annnaaaaa Ekkadikellav anna innirojulu Pandemic time lo ni postmortem videos tho na stress antha pogattav especially with Saleem review,non-hate,
HATE_1206,arey tvnine nuv pèTTina pol ki emainA saMbaMdhaM uMdA rA,hate,
HATE_1207,saMyukta gAri yakkaTiMg sUpar  sinimA sUpar ,non-hate,
HATE_1208,Ippudu nuvvu cheppindi yem pikutanani news chesataru,hate,
HATE_1209,Ni thumbnail jathini thenga,hate,
HATE_1210,Puri sir me flop movies kuda vere directors teese hit movies kante manchi philosophical ga entertaining ga untai Meetho bagu paddollu mimmalni marchipoyi undicchu sir But memu kadu Love you sir E movie tho Vijay manchi super ⭐️ avvalani korukuntunna 💝💝💝,non-hate,
HATE_1211,Puri raasina dialogues mahesh chepthea excellent ga set avthai,non-hate,
HATE_1212,Endhukura ayya pichi pichi thumbnails pedtharu,hate,
HATE_1213,u dont worry bro aa kalyani ki dhula Patti idhantha chesthundhi,hate,
HATE_1214,​baga chepparumaha news is waste newsonly bjp ki tdp ki support vallu,hate,
HATE_1215,​pora howley,hate,
HATE_1216,karèkT gA mATlADutunnAv rA shrIkAMt,non-hate,
HATE_1217,jai kumar next nee amma nee sisters nee andharni petti prank thesthadu vadu wait,hate,
HATE_1218,inkaa saavaledhu le vaadu baane sacchaadu yedhavakanipisthoone vundhigaa,hate,
HATE_1219,​vaadikasalu em maatlaaduthunnaado clarity ne ledhu malli maatlaaduthunnaadu yedhava,hate,
HATE_1220,​gayathri medam super cheppinav good,non-hate,
HATE_1221,Open Heart with RK ki tèlaMgANa gavarnar tamiLa sai gAru rAvaDaM chAlA AnaMdaMgA uMdi veTiMg phar èpisoD,non-hate,
HATE_1222,rAdhAkRRiShNa gAru chAlA saMvatsarAla tarvAta mIru saMtoShaMgA kanipiMchAru shubhAbhinaMdanalu mIku gaurava gavarnar meDaMgAru navvutUne nippulu chèrigAru,non-hate,
HATE_1223,chAlA IjIgA mATlADaTaM bAguMdi her excelency gavarnar madam,non-hate,
HATE_1224,Meeku governer post ivvadame waste,hate,
HATE_1225,Meru enni kathalu padda kcr onezerozero next cm of telangana cheap interviews with cheap abn rada krishna,hate,
HATE_1226,Asal mamulga ledu thop awesome,non-hate,
HATE_1227,ah lobo ni marchandi ra babu,hate,
HATE_1228,nA jIvitaM lo chUsina adbhutamaina vIDiyo ide,non-hate,
HATE_1229,Ending naku tears vachai  bro Harsh sai real hero God bless u brother,non-hate,
HATE_1230,Intentionally geliki emina serious ite news chedamani,hate,
HATE_1231,social media Parma chetha media valu asalu vishayalu telsikounda matladam Manchi Kadu,hate,
HATE_1232,news valu pen undani rayatam manchidi Kadu,hate,
HATE_1233,Evadentha echaru neeku dabbulu bewerse yadavalraa,hate,
HATE_1234,IDu kAmèDI ki takkuva  aDDagolu vAguDuki èkkuva bevakUph èDava,hate,
HATE_1235,public meeting lo ala matladalo teliyani valaki anchor chance ivvakamdi,hate,
HATE_1236,Over confidant ithe alage untadi super ga cheppi silent chesinav Suma akka,hate,
HATE_1237,Suma akka meeru cooking show kuda anchoring chesthe chala baaguntundi,non-hate,
HATE_1238,alI siggundali nIku sanskaram ledu nIku navvutU unna so called celebrities ki navvu èlA vastuMdo,hate,
HATE_1239,Dayachesi Ali ki anchoring ivvakandi,hate,
HATE_1240,Suma Akka u r super ni pakkana adu enduku chandalam ga,hate,
HATE_1241,Ore ali inta asahyamga matladutaav adavallatho double meaning dialogues matladutav nuvvu MLA ayyi emi peekutav,hate,
HATE_1242,Ali double meaning gaducheppu debba padali,hate,
HATE_1243,Ali mi wife Kerala vellara Ani adigithe niku ela untundhi  Thappura nayana ala matladatam,hate,
HATE_1244,Vaadiki baagaa balsindhimind dobbinattundhikodikki,hate,
HATE_1245,Nuv politics loki vellali anukutunnavemo Ila matladithe ninnu address lekunda kodatharu prajalu,hate,
HATE_1246,Nidra pothunna gaadida nu lepi thanninchukovadam ante ide Dayachesi vadiki public lo mike ivvakandi,hate,
HATE_1247,Waste gaadu ali,hate,
HATE_1248,Suma gurinchi evvaru cheppanakkarledu  Tanante maaku Chala istam,non-hate,
HATE_1249,Deneke paneameladau Vadeke paneameladunekupaneameladu Raa,hate,
HATE_1250,Climax chala bagundhi lots of fun enjoyed a lot,non-hate,
HATE_1251,chAlA bAguMdi bro chinnapuDu ivi anni memu chesAmu bro chAlA hyApI gA uMdi I sirIs chUstuMTe Best of luck bro,non-hate,
HATE_1252,Ee Series Mana FilmyMoji Channel Lo Best Series avalani Korukuntuna,non-hate,
HATE_1253,Fun moji kaMTe  filmy moji  lo comedy chAlA bAguMTuMdi,non-hate,
HATE_1254,greT women,non-hate,
HATE_1255,Yenta spastanga ame voice undo chudandi,non-hate,
HATE_1256,Waste fellow in tollywood,hate,
HATE_1257,rachcha lepe spIch chèppAlaMTe baMDla gaNeSh anna tarvAte èvarainA,non-hate,
HATE_1258,nijame pavan kaLyAN aMTe òka vèsanaM chachchinA vadallemu,non-hate,
HATE_1259,Nenu chusina all speech lo ekkuva sarlu chusanu,non-hate,
HATE_1260,ènni sArlu chUsina chUDAlani anipiMche speech,non-hate,
HATE_1261,fourtwosArlu chUshAnU ayina boru kòTTa ledu,non-hate,
HATE_1262,Na friend valla papa ki operation ite Aravind gari foundation help chesindi He is really doing a commendable job,non-hate,
HATE_1263,Tokka kooda oppukonu,hate,
HATE_1264,Telangana lo bjp vasteneee trs aarachakaalu tagguthai police la ni venta pettukoni motham Telangana ni nashanam chestunnaru,hate,
HATE_1265,KTR matladedi kanisam ardam chesukune brain leni vallu kuda ktr anadame Next election ki same place nunchi Poti chesi deposit techukunte chalu,hate,
HATE_1266,Roja garu ituvanti baddu biraagilanu interview  mee dignity thagguthadi ituvanti vaaru samaajaniki cheeda purugulu,hate,
HATE_1267,Rajyanganni marustham ante matram thaggedele,non-hate,
HATE_1268,Arey howle Nizamabad MP Pasupu bord Edhi be Nv esukunna Angi lagu kudha Cangress icchindhe and TELANGANA icchindhi kuda Cangress A meeru cheppe Digital India lo ni AAdhar card kuda Cangress tecchindhe,hate,
HATE_1269,Chi chi neeku anchoring evadu nerponchondofarmers ni arrest chesinaru antesafety ki antavaintha dikkumaalina answer emina vuntada asaluante anyayam jarigindi Ani chepte arrest lu chestaruala arrest cheyyadam correct antava nv,hate,
HATE_1270,Waste fellow he did nothing for telengana,hate,
HATE_1271,Gundu Babu esari neku gundu sunna vasthundi no winnings,hate,
HATE_1272,mI ènAlisis vèrI iMTrèsTiMg riyal we listen meticulously we appreciate you,non-hate,
HATE_1273,Babu gogineni garu suereb ga Chepparu,non-hate,
HATE_1274,RK gaaru pedda kulagajji gaaru,hate,
HATE_1275,nI abhimAni ani chèppukovaDAniki mAku garvaMgA uMdi annayya I love you annayya,non-hate,
HATE_1276,annA I spIch rojuku mUDu nAlugusArlu chUstegAni nAku nidrarAdusUpar baMDla,non-hate,
HATE_1277,Miru miru okkatey madyalo fans ey suffer avuthaaru,hate,
HATE_1278,Dabba rayulu,hate,
HATE_1279,mIru mI phyAmilI tagalèyya èkkaDinuMDi  puTTADu rA mI aMdarU mIru mATlADe bhASha asalu A chiraMjIvi phyAmilI daggara mI phyAmilI èMduku pani chestuMdi rA vèrri vèMgaLappa nuvvu nI mATlADanu,hate,
HATE_1280,Orey miru chese abhivRRiddhi emainA unnAyA bhUtulu tiTTaDaM tappa,hate,
HATE_1281,Sannasi anagaane Nene ani  mee honesty ki hats off sir,hate,
HATE_1282,Idendayya idi Mariiii ila thayarayyaru Dandaalu ra ayya,hate,
HATE_1283,Nani inkosari pk speech chudu  Sollu kakunda raise chesina points gurinchi matladu Sannasivenuv no doubt,hate,
HATE_1284,Peoples be like nuvvu nijanga erripukivi ,hate,
HATE_1285,Sanyasi ante yevaro  anukunna e korja gada,hate,
HATE_1286,Maa Karama elanti ministers undadam,hate,
HATE_1287,Pk cheppindi enti  Veedu cheppedi enti  kulala madya chichu pedadam annatu undi veedu matladedi,hate,
HATE_1288,pavan kaLyAN mUvIs lo hIro rAjakIyaM lo  zero,hate,
HATE_1289,asalu villu prajalaki em Manchi chesthunnaroo cheppandi boothulu maatlaadi public ki Tv ki entertainment cheyakandi,hate,
HATE_1290,karthikeya masth cheppinddu sudheer miru jabardasth ki belong avvarudhee ki belong avvaru ma audience ki belong avutaru ,non-hate,
HATE_1291,"nUtana saMvatsara shubhAkAMkShalu  sUpar IvèMT sudhIr aMD raShmI DAns sUpar 
Iam wathing saMkrAMti IvèMT",non-hate,
HATE_1292,Climax telisikuda chusam ante thats all bcoz of Sudheer and Rashmi ,non-hate,
HATE_1293,Okko punch okko diamond la undi vronice edit,non-hate,
